TITLE,DATE,TECHNIQUE,LOCATION,URL,TYPE
Sick Bacchus,c. 1593,"Oil on canvas, 67 x 53 cm","Galleria Borghese, Rome",https://www.wga.hu/html/c/caravagg/01/01bacch.html,mythological
Boy Peeling a Fruit,c. 1593,"Oil on canvas, 76 x 64 cm","Fondazione di Studi di Storia dell'Arte Roberto Longhi, Florence",https://www.wga.hu/html/c/caravagg/01/02peelin.html,portrait
Boy with a Basket of Fruit,c. 1593,"Oil on canvas, 70 x 67 cm","Galleria Borghese, Rome",https://www.wga.hu/html/c/caravagg/01/03boy.html,genre
Boy Bitten by a Lizard,c. 1594,"Oil on canvas, 66 x 49,5 cm","National Gallery, London",https://www.wga.hu/html/c/caravagg/01/041boy.html,portrait
St Francis in Ecstasy,c. 1595,"Oil on canvas, 93 x 128 cm","Wadsworth Atheneum, Hartford",https://www.wga.hu/html/c/caravagg/01/05franc.html,religious
The Musicians,1595-96,"Oil on canvas, 92 x 118,5 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/c/caravagg/01/06concer.html,genre
The Fortune Teller,c. 1596,"Oil on canvas, 115 x 150 cm","Pinacoteca Capitolina, Rome",https://www.wga.hu/html/c/caravagg/01/07fortun.html,genre
The Cardsharps,c. 1596,"Oil on canvas, 92 x 129 cm","Kimbell Art Museum, Fort Worth",https://www.wga.hu/html/c/caravagg/01/08cardsh.html,genre
The Lute Player,c. 1600,"Oil on canvas, 102 x 130 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/c/caravagg/01/091lute.html,genre
Lute Player,c. 1596,"Oil on canvas, 94 x 119 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/c/caravagg/01/092lute.html,genre
Bacchus,c. 1596,"Oil on canvas, 95 x 85 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/c/caravagg/01/10bacch.html,mythological
Mary Magdalene,1596-97,"Oil on canvas, 123 x 99 cm","Galleria Doria Pamphilj, Rome",https://www.wga.hu/html/c/caravagg/02/12magda.html,religious
Rest on Flight to Egypt,1596-97,"Oil on canvas, 133,5 x 166,5 cm","Galleria Doria Pamphilj, Rome",https://www.wga.hu/html/c/caravagg/02/13fligh.html,religious
Basket of Fruit,c. 1597,"Oil on canvas, 31 x 47 cm","Pinacoteca Ambrosiana, Milan",https://www.wga.hu/html/c/caravagg/02/14basket.html,still-life
St Catherine of Alexandria,c. 1598,"Oil on canvas, 173 x 133 cm","Museo Thyssen-Bornemisza, Madrid",https://www.wga.hu/html/c/caravagg/02/15cather.html,religious
Martha and Mary Magdalene,c. 1598,"Oil on canvas, 98 x 133 cm","Institute of Arts, Detroit",https://www.wga.hu/html/c/caravagg/02/16martha.html,religious
Judith Beheading Holofernes,c. 1598,"Oil on canvas, 145 x 195 cm","Galleria Nazionale d'Arte Antica, Rome",https://www.wga.hu/html/c/caravagg/03/17judit.html,mythological
Portrait of a Courtesan,c. 1598,"Oil on canvas, 66 x 53 cm","Formerly Kaiser-Friedrich-Museum, Berlin",https://www.wga.hu/html/c/caravagg/03/18phylli.html,portrait
Taking of Christ,c. 1602,"Oil on canvas, 134 x 170 cm","National Gallery of Ireland, Dublin",https://www.wga.hu/html/c/caravagg/03/191captu.html,religious
The Taking of Christ,c. 1598,"Oil on canvas, 133 x 171 cm","Museum of Western European and Oriental Art, Odessa",https://www.wga.hu/html/c/caravagg/03/192captu.html,religious
Head of Medusa,1598-99,"Oil on canvas mounted on wood, diameter 58 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/c/caravagg/03/20medusa.html,mythological
Narcissus,1598-99,"Oil on canvas, 110 x 92 cm","Galleria Nazionale d'Arte Antica, Rome",https://www.wga.hu/html/c/caravagg/03/21narcis.html,mythological
Portrait of Maffeo Barberini,1599,"Oil on canvas, 124 x 90 cm","Private collection, Florence",https://www.wga.hu/html/c/caravagg/03/22barber.html,portrait
St John the Baptist (Youth with Ram),1602,"Oil on canvas, 129 x 94 cm","Pinacoteca Capitolina, Rome",https://www.wga.hu/html/c/caravagg/03/271y_ram.html,religious
Interior view of the chapel,1599-1600,Oil on canvas,"Contarelli Chapel, San Luigi dei Francesi, Rome",https://www.wga.hu/html/c/caravagg/04/23cont1.html,other
The Calling of Saint Matthew,1599-1600,"Oil on canvas, 322 x 340 cm","Contarelli Chapel, San Luigi dei Francesi, Rome",https://www.wga.hu/html/c/caravagg/04/23conta.html,religious
The Martyrdom of St Matthew,1599-1600,"Oil on canvas, 323 x 343 cm","Contarelli Chapel, San Luigi dei Francesi, Rome",https://www.wga.hu/html/c/caravagg/04/24conta.html,religious
St Matthew and the Angel,1602,"Oil on canvas, 232 x 183 cm","Formerly Kaiser-Friedrich-Museum, Berlin",https://www.wga.hu/html/c/caravagg/04/25conta.html,religious
The Inspiration of Saint Matthew,1602,"Oil on canvas, 296 x 189 cm","Contarelli Chapel, San Luigi dei Francesi, Rome",https://www.wga.hu/html/c/caravagg/04/26conta.html,religious
View of the Chapel,1600-01,"Oil on canvas, 245 x 155 cm","Cerasi Chapel, Santa Maria del Popolo, Rome",https://www.wga.hu/html/c/caravagg/05/27ceras.html,other
Interior view of the Chapel,1600-01,Oil on canvas,"Cerasi Chapel, Santa Maria del Popolo, Rome",https://www.wga.hu/html/c/caravagg/05/27ceras1.html,other
The Crucifixion of Saint Peter,1600-01,"Oil on canvas, 230 x 175 cm","Cerasi Chapel, Santa Maria del Popolo, Rome",https://www.wga.hu/html/c/caravagg/05/28ceras.html,religious
The Conversion on the Way to Damascus,1600-01,"Oil on canvas, 230 x 175 cm","Cerasi Chapel, Santa Maria del Popolo, Rome",https://www.wga.hu/html/c/caravagg/05/29ceras.html,religious
The Conversion of St. Paul,c. 1600,"Oil on cypress wood, 237 x 189 cm","Odescalchi Balbi Collection, Rome",https://www.wga.hu/html/c/caravagg/05/30conver.html,religious
David and Goliath,c. 1600,"Oil on canvas, 110 x 91 cm","Museo del Prado, Madrid",https://www.wga.hu/html/c/caravagg/06/31david.html,religious
Portrait of the Poet Giambattista Marino,1600-01,"Oil on canvas, 73 x 60 cm",Private collection,https://www.wga.hu/html/c/caravagg/06/32marino.html,portrait
The Sacrifice of Isaac,1601-02,"Oil on canvas, 104 x 135 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/c/caravagg/06/33isaac.html,religious
The Incredulity of Saint Thomas,1601-02,"Oil on canvas, 107 x 146 cm","Schloss Sanssouci, Potsdam",https://www.wga.hu/html/c/caravagg/06/34thomas.html,religious
Supper at Emmaus,1601,"Oil on canvas, 141 x 196 cm","National Gallery, London",https://www.wga.hu/html/c/caravagg/06/35emmau.html,religious
Amor Victorious,1602-03,"Oil on canvas, 156 x 113 cm","Staatliche Museen, Berlin",https://www.wga.hu/html/c/caravagg/06/36amor_v.html,mythological
The Entombment,1602-03,"Oil on canvas, 300 x 203 cm","Pinacoteca, Vatican",https://www.wga.hu/html/c/caravagg/07/37depos.html,religious
